latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
44.328918,-72.170425,656 Bayley Hazen Rd,VT,Peacham,05862,US,224490,2022-05-01,ELEC
44.3526,-72.73903,1281 Waterbury-Stowe Rd (VT Rte 100),VT,Waterbury,05676,US,218542,2022-05-19,ELEC
44.645248665,-73.3070683999,337 US-2,VT,South Hero,05486,US,230728,2022-06-01,ELEC
44.9518196,-72.157549,4486 US-5,VT,Newport,05855,US,231134,2022-06-02,ELEC
42.91946,-73.240709,398 Campus Rd,VT,North Bennington,05257,US,221147,2022-06-10,ELEC
42.919358,-73.240683,398 Dwyers Camp Rd,VT,North Bennington,05257,US,221146,2022-06-10,ELEC
42.906382,-73.217557,527 N Bennington Rd,VT,Bennington,05201,US,221325,2022-06-15,ELEC
43.644271,-72.339094,104 Ballardalle Dr,VT,White River Jct,05446,US,222082,2022-06-28,ELEC
44.448213,-73.106684,31 Market St,VT,Williston,05495,US,222078,2022-06-28,ELEC
44.80899,-73.07861,75 Fairfield St,VT,St. Albans,05478,US,254575,2022-06-30,ELEC
44.56209,-72.598785,21 Portland St,VT,Morrisville,05661,US,222409,2022-07-01,ELEC
44.646736,-72.830505,5062 VT-15,VT,Cambridge,05464,US,222415,2022-07-01,ELEC
44.520916,-72.94679,368 Vt. Rte. 15,VT,Jericho,05465,US,222525,2022-07-06,ELEC
44.429643,-72.0171,8 Memorial Dr,VT,Saint Johnsbury,05819,US,223437,2022-07-13,ELEC
44.429648,-72.017059,8 Memorial Dr,VT,Saint Johnsbury,05819,US,223438,2022-07-13,ELEC
44.577315,-72.594212,160 Vermont Rte 100,VT,Morristown,05661,US,223465,2022-07-14,ELEC
44.51578,-72.373367,75 Log Yard Dr,VT,Hardwick,05843,US,223711,2022-07-19,ELEC
44.515765,-72.373362,75 Log Yard Dr,VT,Hardwick,05843,US,223712,2022-07-19,ELEC
43.94404,-72.625236,1917 VT-66,VT,Randolph,05060,US,224752,2022-08-03,ELEC
43.82311,-72.59918,1720 Vermont 107,VT,Bethel,05032,US,225582,2022-08-16,ELEC
43.944095,-72.625269,1917 VT-66,VT,Randolph,05060,US,225963,2022-08-20,ELEC
